codigo,provincia,componente,hogares_afectados,pct_total_hogares,pct_hogares_nbi,hogares,hogares_nbi,promedio_nacional,desviacion_pp
1,Azuay,Capacidad economica,9074,3.68,14.94,246867,60751,10.91,4.03
1,Azuay,Acceso a educacion basica,2677,1.08,4.41,246867,60751,3.99,0.42
1,Azuay,Acceso a vivienda,13060,5.29,21.5,246867,60751,19.65,1.85
1,Azuay,Acceso a servicios basicos,44927,18.2,73.95,246867,60751,79.26,-5.31
1,Azuay,Hacinamiento,11880,4.81,19.56,246867,60751,23.82,-4.26
2,Bolivar,Capacidad economica,4754,7.5,13.14,63428,36179,10.91,2.23
2,Bolivar,Acceso a educacion basica,401,0.63,1.11,63428,36179,3.99,-2.88
2,Bolivar,Acceso a vivienda,9575,15.1,26.47,63428,36179,19.65,6.82
2,Bolivar,Acceso a servicios basicos,33587,52.95,92.84,63428,36179,79.26,13.58
2,Bolivar,Hacinamiento,5451,8.59,15.07,63428,36179,23.82,-8.75
3,Canar,Capacidad economica,5000,7.18,18.74,69671,26678,10.91,7.83
3,Canar,Acceso a educacion basica,604,0.87,2.26,69671,26678,3.99,-1.73
3,Canar,Acceso a vivienda,4643,6.66,17.4,69671,26678,19.65,-2.25
3,Canar,Acceso a servicios basicos,20974,30.1,78.62,69671,26678,79.26,-0.64
3,Canar,Hacinamiento,4375,6.28,16.4,69671,26678,23.82,-7.42
4,Carchi,Capacidad economica,1975,3.68,11.23,53716,17582,10.91,0.32
4,Carchi,Acceso a educacion basica,499,0.93,2.84,53716,17582,3.99,-1.15
4,Carchi,Acceso a vivienda,3767,7.01,21.43,53716,17582,19.65,1.78
4,Carchi,Acceso a servicios basicos,13444,25.03,76.46,53716,17582,79.26,-2.8
4,Carchi,Hacinamiento,3983,7.41,22.65,53716,17582,23.82,-1.17
5,Cotopaxi,Capacidad economica,8713,6.25,13.08,139362,66618,10.91,2.17
5,Cotopaxi,Acceso a educacion basica,880,0.63,1.32,139362,66618,3.99,-2.67
5,Cotopaxi,Acceso a vivienda,13348,9.58,20.04,139362,66618,19.65,0.39
5,Cotopaxi,Acceso a servicios basicos,59340,42.58,89.08,139362,66618,79.26,9.82
5,Cotopaxi,Hacinamiento,11642,8.35,17.48,139362,66618,23.82,-6.34
6,Chimborazo,Capacidad economica,7962,5.33,12.67,149395,62846,10.91,1.76
6,Chimborazo,Acceso a educacion basica,826,0.55,1.31,149395,62846,3.99,-2.68
6,Chimborazo,Acceso a vivienda,19586,13.11,31.17,149395,62846,19.65,11.52
6,Chimborazo,Acceso a servicios basicos,56357,37.72,89.67,149395,62846,79.26,10.41
6,Chimborazo,Hacinamiento,8046,5.39,12.8,149395,62846,23.82,-11.02
7,El Oro,Capacidad economica,6515,2.94,8.64,221627,75387,10.91,-2.27
7,El Oro,Acceso a educacion basica,3241,1.46,4.3,221627,75387,3.99,0.31
7,El Oro,Acceso a vivienda,14985,6.76,19.88,221627,75387,19.65,0.23
7,El Oro,Acceso a servicios basicos,55008,24.82,72.97,221627,75387,79.26,-6.29
7,El Oro,Hacinamiento,19717,8.9,26.15,221627,75387,23.82,2.33
8,Esmeraldas,Capacidad economica,12455,7.47,12.29,166694,101320,10.91,1.38
8,Esmeraldas,Acceso a educacion basica,3224,1.93,3.18,166694,101320,3.99,-0.81
8,Esmeraldas,Acceso a vivienda,10431,6.26,10.3,166694,101320,19.65,-9.35
8,Esmeraldas,Acceso a servicios basicos,90446,54.26,89.27,166694,101320,79.26,10.01
8,Esmeraldas,Hacinamiento,20509,12.3,20.24,166694,101320,23.82,-3.58
9,Guayas,Capacidad economica,44327,3.36,9.48,1319163,467718,10.91,-1.43
