codigo,provincia,hogares,hogares_nbi,tasa_hogares_nbi,personas,personas_nbi,tasa_personas_nbi,participacion_hogares_nbi
22,Orellana,50843,32259,63.45,182166,125005,68.62,1.68
08,Esmeraldas,166694,101320,60.78,553900,346609,62.58,5.26
13,Manabi,484455,287836,59.41,1592840,955376,59.98,14.95
12,Los Rios,282171,167086,59.21,898652,550670,61.28,8.68
14,Morona Santiago,52453,30558,58.26,192508,125461,65.17,1.59
02,Bolivar,63428,36179,57.04,199078,116266,58.4,1.88
21,Sucumbios,59083,32695,55.34,199014,117250,58.92,1.7
15,Napo,35615,19589,55.0,131675,80894,61.43,1.02
05,Cotopaxi,139362,66618,47.8,470210,226102,48.09,3.46
19,Zamora Chinchipe,32872,15449,47.0,110973,55335,49.86,0.8
16,Pastaza,31383,14427,45.97,111915,59036,52.75,0.75
24,Santa Elena,105932,46837,44.21,385735,182017,47.19,2.43
23,Santo Domingo de los Tsachilas,153289,66536,43.41,492969,229493,46.55,3.46
06,Chimborazo,149395,62846,42.07,471933,201201,42.63,3.26
03,Canar,69671,26678,38.29,227578,88943,39.08,1.39
11,Loja,148762,56526,38.0,485421,190433,39.23,2.94
09,Guayas,1319163,467718,35.46,4391923,1711765,38.98,24.3
07,El Oro,221627,75387,34.02,714592,260570,36.46,3.92
04,Carchi,53716,17582,32.73,172828,57301,33.15,0.91
18,Tungurahua,176227,55648,31.58,563532,177035,31.42,2.89
10,Imbabura,141502,44026,31.11,469879,153025,32.57,2.29
20,Galapagos,9718,2713,27.92,28583,8929,31.24,0.14
01,Azuay,246867,60751,24.61,801609,205719,25.66,3.16
17,Pichincha,994599,137877,13.86,3089473,489315,15.84,7.16
